fila_excel,nombre,alias,tipo,detalle_cliente,categoria,sitio_web,anios_participacion,logo_archivo,logo_nombre_original,logo_drive_url,logo_descarga_directa,observacion
2,A.B.C. PRODEIN,,,Socia,Organizaciones participantes,www.prodein.org,"2024, 2025",a-b-c-prodein.jpg,abc_prodein.jpg,https://drive.google.com/file/d/18GSJEgQ4Pfxy8M0JQDpHaVTZbFYlKK69/view?usp=drive_link,https://drive.google.com/uc?export=download&id=18GSJEgQ4Pfxy8M0JQDpHaVTZbFYlKK69,
3,ALDEAS INFANTILES SOS,,,Socia,Organizaciones participantes,www.aldeasinfantilessos.cl,2025,aldeas-infantiles-sos.png,Aldeas-Infantiles-SOS-Chile.png,https://drive.google.com/file/d/1LhokislQ9LWEfpLMUNPhbCxAgPBNnAPw/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1LhokislQ9LWEfpLMUNPhbCxAgPBNnAPw,
4,AVANZA INCLUSIÓN,,,Socia,Organizaciones participantes,www.avanzainclusion.cl,"2024, 2025",avanza-inclusion.jpeg,Avanza Inclusión.jpeg,https://drive.google.com/file/d/1tRptNiMJ3br1U96rj4pSY1S9x6tx_byy/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1tRptNiMJ3br1U96rj4pSY1S9x6tx_byy,
5,ASPADE - ASOCIACIÓN DE PADRES Y AMIGOS DE PERSONAS CON DÉFICIT,,,Socia,Organizaciones participantes,http://www.aspade.cl/,"2024, 2025",aspade-asociacion-de-padres-y-amigos-de-personas-con-deficit.png,Corporación Aspade .png,https://drive.google.com/file/d/13nqveEwuJZTSkWsWBmQIlFkwvkiCfKI1/view?usp=drive_link,https://drive.google.com/uc?export=download&id=13nqveEwuJZTSkWsWBmQIlFkwvkiCfKI1,
6,FUNDACIÓN PERSEVERA,,,Socia,Organizaciones participantes,https://fundacionpersevera.cl/,2025,fundacion-persevera.png,Fundación Persevera.png,https://drive.google.com/file/d/1ZuJAQpHB4ApBh8gugwNrWSipJf18FdcE/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1ZuJAQpHB4ApBh8gugwNrWSipJf18FdcE,
7,FUNDACIÓN SENDAS,,,Socia,Organizaciones participantes,www.fundacionsendas.cl,2025,fundacion-sendas.jpg,SENDAS.jpg,https://drive.google.com/file/d/18UbDy1MIOFTqutXaRZX0bJTo2EofWShy/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=18UbDy1MIOFTqutXaRZX0bJTo2EofWShy,
8,CENFA - CENTRO NACIONAL DE LA FAMILIA,,,Socia,Organizaciones participantes,www.cenfa.cl,2025,cenfa-centro-nacional-de-la-familia.png,CENFA.png,https://drive.google.com/file/d/1LiKQNb7fHcRACaKQZInKrQIcHo2BjWtr/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1LiKQNb7fHcRACaKQZInKrQIcHo2BjWtr,
9,CLUB DE LEONES CRUZ DEL SUR - PUNTA ARENAS,,,Socia,Organizaciones participantes,https://leonescruzdelsur.cl/,2025,club-de-leones-cruz-del-sur-punta-arenas.png,CLUB de Leones CRUZ DEL SUR.pngk,https://drive.google.com/file/d/1EuzbvLAPHxd2Cc5_ewOAWTauwi678UKD/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1EuzbvLAPHxd2Cc5_ewOAWTauwi678UKD,"extensión .pngk en el Excel, se asume .png"
10,CORPORACIÓN ABRIENDO PUERTAS,,,Socia,Organizaciones participantes,www.corporacionabriendopuertas.cl,2025,corporacion-abriendo-puertas.jpeg,Corporación Abriendo Puertas.jpeg,https://drive.google.com/file/d/1Y_KZEOLrcPeUcW8E6Y6QbmMIrPretJZ8/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1Y_KZEOLrcPeUcW8E6Y6QbmMIrPretJZ8,
11,CORPORACIÓN ATRAPASUEÑOS,,,Socia,Organizaciones participantes,www.atrapasueños.cl,2025,corporacion-atrapasuenos.png,Atrapasueños.png,https://drive.google.com/file/d/1zr7yALkHJRskm2hvAKHRLmv4_vG3hlXU/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1zr7yALkHJRskm2hvAKHRLmv4_vG3hlXU,
